x,y,value,Year,Day_in_Year,elevation,evapotranspiration,SPL4_Soilmoisture,Land_Surface_Temp_K,Precipictation_m,Surface_Pres_Pa
141.455,-35.372499999999995,0.29122037,2018.0,305.0,62.56992721557617,1.078595519065857,0.0661763176321983,14698.722222222224,0.0007552137249149,100641.296875
143.12,-35.445,0.6955445,2018.0,305.0,61.12125015258789,0.884472131729126,0.0537501201033592,14821.70588235294,0.0013646306470036,100766.0078125
143.26250000000002,-35.515,0.6710613,2018.0,305.0,78.3515625,0.4917405545711517,0.0567996129393577,14792.64705882353,0.0017475406639277,100537.6796875
143.0,-35.5825,0.5717503,2018.0,305.0,65.54043579101562,0.4386264681816101,0.0481053218245506,14746.4375,0.0010517176706343,100621.4765625
143.2475,-35.6475,1.3468997,2018.0,305.0,86.2330322265625,0.5945054292678833,0.0522894486784935,14732.875,0.0013703975128009,100679.921875
141.285,-35.7125,0.37767515,2018.0,305.0,111.7286605834961,1.0809375047683716,0.0794068798422813,14579.375,0.0009664539829827,100366.671875
143.41,-35.7725,0.82749426,2018.0,305.0,94.14676666259766,0.8677467703819275,0.0852377042174339,14667.3125,0.0015827433671802,100406.953125
142.35,-35.8325,0.86735594,2018.0,305.0,85.06520080566406,0.9434822797775269,0.0652549490332603,14640.0,0.0008353636949323,100473.625
145.57,-35.8825,1.3119984,2018.0,305.0,111.29437255859376,1.3860152959823608,0.108717106282711,14640.2,0.0022887056693434,100144.3125
143.54250000000002,-35.9325,0.4549104,2018.0,305.0,97.34209442138672,0.8804601430892944,0.0528711900115013,14701.35294117647,0.0020062171388417,100387.4609375
142.7225,-35.9775,0.75268596,2018.0,305.0,96.95408630371094,0.5993732213973999,0.0607205852866172,14546.0625,0.0008484638528898,100433.6015625
144.3275,-36.015,0.7059384,2018.0,305.0,86.98236083984375,0.6904627680778503,0.1109687313437461,14727.533333333333,0.0026421002112329,100362.46875
142.975,-36.05,1.3686179,2018.0,305.0,104.51441192626952,0.606582760810852,0.170365110039711,14626.764705882351,0.0008960864506661,100299.6796875
147.2375,-36.08,1.4758362,2018.0,305.0,279.82818603515625,1.3154829740524292,0.1401939541101455,14482.846153846154,0.0037046554498374,98500.8984375
147.07500000000002,-36.11,2.5596023,2018.0,305.0,340.2522888183594,2.7175843715667725,0.1413564831018448,14567.083333333334,0.0037046554498374,98500.8984375
144.805,-36.14,1.1295403,2018.0,305.0,98.07987213134766,1.3181394338607788,0.1170392259955406,14514.066666666668,0.0036527579650282,100307.265625
142.015,-36.17,2.137139,2018.0,305.0,86.40505981445312,0.6868777871131897,0.0764163956046104,14544.777777777776,0.0008435326744802,100419.0859375
146.315,-36.1975,2.0147543,2018.0,305.0,142.9436492919922,1.1270662546157837,0.0913063511252403,14654.76923076923,0.0024143927730619,99800.1484375
